District,Facility Name,Facility Type,Managing Authority,Urban/Rural
Dedza,Bembeke Health Centre,Health Centre,CHAM,Rural
Dedza,Chikuse Health Centre,Health Centre,Government,Urban
Dedza,Chimoto Health Centre,Health Centre,Government,Rural
Dedza,Chitowo Health Centre,Health Centre,Government,Rural
Dedza,Dedza District Hospital,Hospital,Government,Rural
Dedza,Dzindevu Health Centre,Health Centre,Government,Rural
Dedza,Golomoti Health Centre,Health Centre,Government,Rural
Dedza,Kafere Health Centre,Health Centre,Government,Rural
Dedza,Kalulu Health Centre,Health Centre,Government,Rural
Dedza,Kanyama Health Centre,Health Centre,CHAM,Rural
Dedza,Kanyezi Health Centre,Health Centre,Government,Rural
Dedza,Kaphuka Health Centre,Health Centre,Government,Rural
Dedza,Kasina Health Centre,Health Centre,CHAM,Urban
Dedza,Kaundu Health Centre,Health Centre,CHAM,Rural
Dedza,Lobi Health Centre,Health Centre,Government,Rural
Dedza,Maonde Health Centre,Health Centre,Government,Rural
Dedza,Matumba Health Centre,Health Centre,CHAM,Rural
Dedza,Mayani Health Centre,Health Centre,Government,Rural
Dedza,Mganja Health Centre,Health Centre,Government,Rural
Dedza,Mikondo Health Centre,Health Centre,CHAM,Rural
Dedza,Mlangali Health Centre,Health Centre,Government,Rural
Dedza,Mphathi Health Centre,Health Centre,Government,Rural
Dedza,Mphunzi Health Centre,Health Centre,CHAM,Rural
Dedza,Mtakataka Health Centre,Health Centre,Government,Rural
Dedza,Mtendere Health Centre,Hospital,CHAM,Rural
Dedza,Mua Rural Hospital,Hospital,CHAM,Urban
Dedza,Nakalanzi Health Centre,Health Centre,CHAM,Rural
Dedza,Ntakataka Police Dispensary,Health Centre,Government,Rural
Dowa,Bowe Health Centre,Health Centre,Government,Rural
Dowa,Chakhaza Health Centre,Health Centre,Government,Rural
Dowa,Chankhungu Health Centre,Health Centre,Government,Rural
Dowa,Chinkhwiri Health Centre,Health Centre,Government,Rural
Dowa,Chisepo Health Centre,Health Centre,Government,Rural
Dowa,Chizolowondo Health Centre,Health Centre,Government,Rural
Dowa,Dzaleka Health Centre,Health Centre,Government,Rural
Dowa,Dzoole Health Centre,Health Centre,Government,Rural
Dowa,Kayembe Health Centre,Health Centre,Government,Rural
Dowa,Madisi Mission Hospital,Hospital,CHAM,Rural
Dowa,Mbingwa Health Centre,Health Centre,Government,Rural
Dowa,Mponela Rural Hospital,Hospital,Government,Rural
Dowa,Msakambewa Health Centre,Health Centre,Government,Rural
Dowa,Mthengathenga Hospital,Hospital,CHAM,Rural
Dowa,Mvera Army Health Centre,Health Centre,Government,Rural
